name, skill_lvl, area

python,70%,python
numpy,75%,python
pandas,90%,python
mcp-server,66%,python
matplotlib,90%,python
tensorflow,15%,python
pytorch,70%,python 

glue,80%,aws
quick,100%,aws
hadoop/pyspark,50%,aws
dataoptimization,75%,aws
datagovernance,83%,aws

powershell,40%,shell
api,40%,shell

mysql,65%,sql
postgres-sql,83%,sql
sql-light,80%,sql

LLMs,75%,ai 
Vision,85%,ai 
Transformer,80%,ai
linearModels,75%,ai
Datascience,85%,ai
Markdown,90%,ai

Blender,90%,3d
Houdini,90%,3d
AdobeSuite,80%,Adobe
MSOffice,75%,Office
GoogleDocs,80%,Office

C,20%,C
C++,20%,C
R,20%,R

Sales,30%,Sales
IT(Administration),50%,IT(Administration)
electrical engineering,10%,electrical engineering
math,50%,math
statistics,77%,statistics
C2,88%,English
C2,100%,German



